captured_at,arb_id,percent,event_name,sport,league,bookmakers
2026-02-20T22:36:33.472652+00:00,94b4e3169184823823cf4a38c6ede82f,0.993,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
2026-02-20T22:36:33.472660+00:00,e0d2362c7415c246552f149d72b6e220,0.993,Southern Mississippi Golden Eagles - Purdue Boilermakers,Beisebol,USA. NCAA,[]
2026-02-20T22:36:33.472665+00:00,a3f09cd4f1c4d3fb85baab1051e44b73,0.99,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:36:33.472668+00:00,e9db88d0c4a1dac761179b4105de2ef9,0.99,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:36:33.472672+00:00,02a2b7683c0a3acc96ba6c2a86633afd,0.99,Uniao Corinthians - Basquete Osasco,Basquete,Brazil. NBB,[]
2026-02-20T22:36:35.839362+00:00,184d82da5a1353d86f50f57e984845ca,1.0,Spain (Nightxx) - Argentina (Deroll),Sport 39,Electronic Leagues. eSports Battle,[]
2026-02-20T22:36:35.839375+00:00,3d93bd10bd36a033575ae103d50cfb3c,1.0,UAAARoso - Valongo,Basquete,Portugal. Taca de Portugal,[]
2026-02-20T22:36:35.839382+00:00,567ab347e01ddd18024f42c772c356ad,1.0,Germany (Kavviro) - England (Tikitakamaster),Sport 39,Electronic Leagues. eSports Battle,[]
2026-02-20T22:36:35.839386+00:00,d73c23f71df8cd7e0677e3cea14ca37a,1.0,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:36:35.839391+00:00,25de9b31d1fde98e1878d042ebf63d30,0.998,East Carolina Pirates - North Carolina Tar Heels,Beisebol,USA. NCAA,[]
2026-02-20T22:36:35.839395+00:00,5b81d585195642498331bca0562f3fa1,0.998,Renasce Voleibol Sorocaba Women - Tijuca TC Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:36:35.839400+00:00,991b423c32873b46d7e16d411cc84eca,0.998,"Vlasenko, Valeriy  - Kuravskyi, Oleksandr",Sport 13,World. Setka Cup. Singles,[]
2026-02-20T22:36:35.839404+00:00,37a0ec07c87182da06e00dce9dbbf64f,0.998,"Skacelik, Richard - Cernin, Tomas",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
2026-02-20T22:36:35.839447+00:00,8eebb75c8e826194baf56f4dce712a35,0.998,"Volhejn, Dan - Klimenta, Matous",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
2026-02-20T22:36:35.839453+00:00,f81835d8914d51e3e39fbee5c497dfeb,0.998,Georgia State Panthers - Bellarmine,Beisebol,USA. NCAA,[]
2026-02-20T22:36:35.839457+00:00,3ea25b8609b0c6fadd6d2f6b06145085,0.998,Atletico FC Cali - Boyaca Patriotas FC,Futebol,Colombia. Primera B,[]
2026-02-20T22:36:35.839461+00:00,6cb987d7e4260912b281e1c2c5df5a6f,0.998,"Hrynenko, Kostiantyn  - Khamurda, Vitaliy",Sport 13,World. Setka Cup. Singles,[]
2026-02-20T22:36:35.839466+00:00,e2f60198d6797f0152d06f626bea5da5,0.998,"Korda, Sebastian - Ruud, Casper",Tenis,World. ATP. Delray Beach. Singles,[]
2026-02-20T22:36:35.839470+00:00,18e4ea6b0f5abcdd43d6aa982aa71f3f,0.996,Sesi Bauru Women - Regatas Lima Women,Volei,South America. Club Championship Women,[]
2026-02-20T22:36:35.839473+00:00,e28188f3f2b7ff80b7bc8592b8d92571,0.996,Estudiantes La Plata - CA Sarmiento,Futebol,Argentina. Primera Division,[]
2026-02-20T22:36:35.839476+00:00,e0d2362c7415c246552f149d72b6e220,0.993,Southern Mississippi Golden Eagles - Purdue Boilermakers,Beisebol,USA. NCAA,[]
2026-02-20T22:36:35.839480+00:00,94b4e3169184823823cf4a38c6ede82f,0.993,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
