captured_at,arb_id,percent,event_name,sport,league,bookmakers
2026-02-20T22:29:33.014852+00:00,5ae08774ec84a7f4c65d5aa1261d3674,0.988,USA - Slovakia,Hoquei no Gelo,World. Olympic Games,[]
2026-02-20T22:29:33.014857+00:00,99e12e3887119d87d5faff7db6f54c1d,0.988,"Kozlov, Stefan - Pacheco Mendez, Rodrigo",Tenis,World. ATP Challenger Metepec. Singles,[]
2026-02-20T22:29:33.014863+00:00,f471a43e176d154324fe504c92d6a8c8,0.982,Jaragua - Clube Atletico Piauiense PI,Futsal,Brazil. Super Cup,[]
2026-02-20T22:29:33.014867+00:00,ba38db3dba2a9cf7b8c053a210bd4657,0.981,Atletico FC Cali - Boyaca Patriotas FC,Futebol,Colombia. Primera B,[]
2026-02-20T22:29:35.271671+00:00,ff04047f09d37dbed01dfd15d512a891,1.0,Club Libertad Asuncion - Rubio Nu,Futebol,Paraguay. Primera Division,[]
2026-02-20T22:29:35.271692+00:00,f1a79ee1cd88794ef84dffafa2ada614,1.0,"Molin, Tomas - Theodor, Filip",Sport 13,World. TTCup. Singles,[]
2026-02-20T22:29:35.271700+00:00,b6938afce5ccb79afd0fad48bb270cc1,1.0,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:29:35.271705+00:00,0059a7caf7ea5568a2b636cc6c3e31b6,0.998,"Stepanov, Timofey - Aney, Alexander",Tenis,World. UTR Pro Series. Singles,[]
2026-02-20T22:29:35.271710+00:00,248ff20cafb0c4dc1e1d81dd73b55646,0.998,"Borodich, Andrey - Zademleniuk, Nikolay",Sport 13,russia. Master. Singles,[]
2026-02-20T22:29:35.271714+00:00,0ca0d4c13aca4e4b9369747817c19cf4,0.998,US Yacoub Mansour - Maghreb AS de Fes,Futebol,Morocco. Botola,[]
2026-02-20T22:29:35.271717+00:00,fb9752661ef113245aa0216cdbb514e1,0.998,Club Atletico Cerro - Liverpool Montevideo,Futebol,Uruguay. Primera Division,[]
2026-02-20T22:29:35.271721+00:00,a6f4b17e3e0a409bc3e2eb07eb607780,0.998,"Kozlov, Stefan - Pacheco Mendez, Rodrigo",Tenis,World. ATP Challenger Metepec. Singles,[]
2026-02-20T22:29:35.271725+00:00,3864431362a3ce0e9a0498cdbffbb613,0.998,Tennessee Tech Golden Eagles - Ohio State Buckeyes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:35.271729+00:00,b654671ec9dac53b35ff1fbcfc46f9b9,0.998,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
2026-02-20T22:29:35.271732+00:00,0fc6722f7c54db4f5d7720c78616efd7,0.998,Vanderbilt Commodores - Marist Red Foxes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:35.271736+00:00,0587328fd58ab4b64591553ca8712d7a,0.998,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:29:35.271740+00:00,4200dca9c2808178f36f83e77e6159a4,0.996,Louisville Cardinals - Nebraska Cornhuskers,Beisebol,USA. NCAA,[]
2026-02-20T22:29:35.271744+00:00,7fbad54d01c6e1d10966f67b6c74046f,0.996,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:29:35.271747+00:00,5a2d4354b43cf0bcc4cb17724855b353,0.99,Abrantes Women - Lobos da Malveira Women,Basquete,Portugal. Nacional Liga Women,[]
2026-02-20T22:29:35.271751+00:00,b1855513d415ff886b1d027766eba23b,0.99,Wake Forest Demon Deacons - Siena Saints,Beisebol,USA. NCAA,[]
2026-02-20T22:29:35.271755+00:00,a79e9120a88152e39f12e4ffba179161,0.99,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:29:35.271759+00:00,5ae08774ec84a7f4c65d5aa1261d3674,0.988,USA - Slovakia,Hoquei no Gelo,World. Olympic Games,[]
2026-02-20T22:29:35.271764+00:00,f471a43e176d154324fe504c92d6a8c8,0.982,Jaragua - Clube Atletico Piauiense PI,Futsal,Brazil. Super Cup,[]
2026-02-20T22:29:35.271768+00:00,ba38db3dba2a9cf7b8c053a210bd4657,0.981,Atletico FC Cali - Boyaca Patriotas FC,Futebol,Colombia. Primera B,[]
2026-02-20T22:29:37.713054+00:00,e89c236be9ee02be718960a45c949f20,1.0,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:29:37.713067+00:00,ff04047f09d37dbed01dfd15d512a891,1.0,Club Libertad Asuncion - Rubio Nu,Futebol,Paraguay. Primera Division,[]
2026-02-20T22:29:37.713073+00:00,f37c987dfb1e678449b9e4041ebc894a,0.998,Stanford Cardinal - California State Fullerton Titans,Beisebol,USA. NCAA,[]
2026-02-20T22:29:37.713077+00:00,ceee52a3953b5a095a43d18419ef77d8,0.998,"Stepanov, Timofey - Aney, Alexander",Tenis,World. UTR Pro Series. Singles,[]
2026-02-20T22:29:37.713083+00:00,248ff20cafb0c4dc1e1d81dd73b55646,0.998,"Borodich, Andrey - Zademleniuk, Nikolay",Sport 13,russia. Master. Singles,[]
2026-02-20T22:29:37.713087+00:00,0ca0d4c13aca4e4b9369747817c19cf4,0.998,US Yacoub Mansour - Maghreb AS de Fes,Futebol,Morocco. Botola,[]
2026-02-20T22:29:37.713090+00:00,fb9752661ef113245aa0216cdbb514e1,0.998,Club Atletico Cerro - Liverpool Montevideo,Futebol,Uruguay. Primera Division,[]
2026-02-20T22:29:37.713094+00:00,6fbb36e0dc65df640fc3e17e562b83bd,0.998,"Kozlov, Stefan - Pacheco Mendez, Rodrigo",Tenis,World. ATP Challenger Metepec. Singles,[]
2026-02-20T22:29:37.713097+00:00,3864431362a3ce0e9a0498cdbffbb613,0.998,Tennessee Tech Golden Eagles - Ohio State Buckeyes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:37.713101+00:00,b654671ec9dac53b35ff1fbcfc46f9b9,0.998,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
2026-02-20T22:29:37.713104+00:00,0fc6722f7c54db4f5d7720c78616efd7,0.998,Vanderbilt Commodores - Marist Red Foxes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:37.713107+00:00,0587328fd58ab4b64591553ca8712d7a,0.998,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:29:37.713111+00:00,4200dca9c2808178f36f83e77e6159a4,0.996,Louisville Cardinals - Nebraska Cornhuskers,Beisebol,USA. NCAA,[]
2026-02-20T22:29:37.713115+00:00,7fbad54d01c6e1d10966f67b6c74046f,0.996,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:29:37.713118+00:00,5a2d4354b43cf0bcc4cb17724855b353,0.99,Abrantes Women - Lobos da Malveira Women,Basquete,Portugal. Nacional Liga Women,[]
2026-02-20T22:29:37.713122+00:00,5453dcc4791ca2aaada6c3396d0b4bcf,0.99,Wake Forest Demon Deacons - Siena Saints,Beisebol,USA. NCAA,[]
2026-02-20T22:29:37.713126+00:00,a79e9120a88152e39f12e4ffba179161,0.99,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:29:37.713132+00:00,5ae08774ec84a7f4c65d5aa1261d3674,0.988,USA - Slovakia,Hoquei no Gelo,World. Olympic Games,[]
2026-02-20T22:29:37.713137+00:00,f471a43e176d154324fe504c92d6a8c8,0.982,Jaragua - Clube Atletico Piauiense PI,Futsal,Brazil. Super Cup,[]
2026-02-20T22:29:37.713141+00:00,ba38db3dba2a9cf7b8c053a210bd4657,0.981,Atletico FC Cali - Boyaca Patriotas FC,Futebol,Colombia. Primera B,[]
2026-02-20T22:29:40.011182+00:00,e89c236be9ee02be718960a45c949f20,1.0,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:29:40.011200+00:00,248ff20cafb0c4dc1e1d81dd73b55646,0.998,"Borodich, Andrey - Zademleniuk, Nikolay",Sport 13,russia. Master. Singles,[]
2026-02-20T22:29:40.011207+00:00,0ca0d4c13aca4e4b9369747817c19cf4,0.998,US Yacoub Mansour - Maghreb AS de Fes,Futebol,Morocco. Botola,[]
2026-02-20T22:29:40.011212+00:00,fb9752661ef113245aa0216cdbb514e1,0.998,Club Atletico Cerro - Liverpool Montevideo,Futebol,Uruguay. Primera Division,[]
2026-02-20T22:29:40.011217+00:00,6cae535bded0d8f2a99300c7d8a1e03f,0.998,Wake Forest Demon Deacons - Siena Saints,Beisebol,USA. NCAA,[]
2026-02-20T22:29:40.011222+00:00,3864431362a3ce0e9a0498cdbffbb613,0.998,Tennessee Tech Golden Eagles - Ohio State Buckeyes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:40.011226+00:00,b654671ec9dac53b35ff1fbcfc46f9b9,0.998,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
2026-02-20T22:29:40.011230+00:00,0fc6722f7c54db4f5d7720c78616efd7,0.998,Vanderbilt Commodores - Marist Red Foxes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:40.011235+00:00,4200dca9c2808178f36f83e77e6159a4,0.996,Louisville Cardinals - Nebraska Cornhuskers,Beisebol,USA. NCAA,[]
2026-02-20T22:29:40.011239+00:00,7fbad54d01c6e1d10966f67b6c74046f,0.996,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:29:40.011244+00:00,038232b16fd1f45fb7efdd7c4c45fc66,0.993,"Barry, Charles/Martin, Andres - Duncan, Scott/Jones, Ben",Tenis,World. ATP Challenger Metepec. Doubles,[]
2026-02-20T22:29:40.011248+00:00,5fcd7df96f1ae5719c58ffc10ba669ab,0.993,"Kozlov, Stefan - Pacheco Mendez, Rodrigo",Tenis,World. ATP Challenger Metepec. Singles,[]
2026-02-20T22:29:40.011253+00:00,5a2d4354b43cf0bcc4cb17724855b353,0.99,Abrantes Women - Lobos da Malveira Women,Basquete,Portugal. Nacional Liga Women,[]
2026-02-20T22:29:40.011257+00:00,a79e9120a88152e39f12e4ffba179161,0.99,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:29:40.011262+00:00,5ae08774ec84a7f4c65d5aa1261d3674,0.988,USA - Slovakia,Hoquei no Gelo,World. Olympic Games,[]
2026-02-20T22:29:40.011268+00:00,fb74df972a646ee9101ebdcf43c203e6,0.985,"Makowski, Kacper - Gluszek, Wojciech",Sport 13,World. TT Elite Series. Singles,[]
2026-02-20T22:29:40.011275+00:00,f471a43e176d154324fe504c92d6a8c8,0.982,Jaragua - Clube Atletico Piauiense PI,Futsal,Brazil. Super Cup,[]
2026-02-20T22:29:40.011279+00:00,d816424d702c387d7fadefaa5aedb45c,0.98,"Hashimoto, Hugo - Dean, Theodore",Tenis,World. UTR Pro Series. Singles,[]
2026-02-20T22:29:40.011284+00:00,742a318766d0919decd6e3552f1f97d4,0.98,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:29:40.011288+00:00,bf74d29b6e04c75bf6a5184401edbf50,0.979,Renasce Voleibol Sorocaba Women - Tijuca TC Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:29:42.276177+00:00,e89c236be9ee02be718960a45c949f20,1.0,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:29:42.276191+00:00,5b184a101b50ff377a786f65edc67e5c,0.998,"Makowski, Kacper - Gluszek, Wojciech",Sport 13,World. TT Elite Series. Singles,[]
2026-02-20T22:29:42.276197+00:00,3864431362a3ce0e9a0498cdbffbb613,0.998,Tennessee Tech Golden Eagles - Ohio State Buckeyes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:42.276202+00:00,2ab27a41ca2ed7046ce8acb133ae43fb,0.998,Universidad Hidalguense - Atletico Zacatepec,Futebol,Mexico. Liga Premier Serie A,[]
2026-02-20T22:29:42.276205+00:00,0fc6722f7c54db4f5d7720c78616efd7,0.998,Vanderbilt Commodores - Marist Red Foxes,Beisebol,USA. NCAA,[]
2026-02-20T22:29:42.276210+00:00,248ff20cafb0c4dc1e1d81dd73b55646,0.998,"Borodich, Andrey - Zademleniuk, Nikolay",Sport 13,russia. Master. Singles,[]
2026-02-20T22:29:42.276214+00:00,0ca0d4c13aca4e4b9369747817c19cf4,0.998,US Yacoub Mansour - Maghreb AS de Fes,Futebol,Morocco. Botola,[]
2026-02-20T22:29:42.276218+00:00,fb9752661ef113245aa0216cdbb514e1,0.998,Club Atletico Cerro - Liverpool Montevideo,Futebol,Uruguay. Primera Division,[]
2026-02-20T22:29:42.276222+00:00,6cae535bded0d8f2a99300c7d8a1e03f,0.998,Wake Forest Demon Deacons - Siena Saints,Beisebol,USA. NCAA,[]
2026-02-20T22:29:42.276226+00:00,7fbad54d01c6e1d10966f67b6c74046f,0.996,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:29:42.276229+00:00,4200dca9c2808178f36f83e77e6159a4,0.996,Louisville Cardinals - Nebraska Cornhuskers,Beisebol,USA. NCAA,[]
2026-02-20T22:29:42.276233+00:00,5fcd7df96f1ae5719c58ffc10ba669ab,0.993,"Kozlov, Stefan - Pacheco Mendez, Rodrigo",Tenis,World. ATP Challenger Metepec. Singles,[]
2026-02-20T22:29:42.276236+00:00,5a2d4354b43cf0bcc4cb17724855b353,0.99,Abrantes Women - Lobos da Malveira Women,Basquete,Portugal. Nacional Liga Women,[]
2026-02-20T22:29:42.276240+00:00,a79e9120a88152e39f12e4ffba179161,0.99,Barueri Women - Fluminense Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:29:42.276244+00:00,5ae08774ec84a7f4c65d5aa1261d3674,0.988,USA - Slovakia,Hoquei no Gelo,World. Olympic Games,[]
2026-02-20T22:29:42.276249+00:00,f471a43e176d154324fe504c92d6a8c8,0.982,Jaragua - Clube Atletico Piauiense PI,Futsal,Brazil. Super Cup,[]
2026-02-20T22:29:42.276253+00:00,8ea0f7b1164a5de6d64a964480461a95,0.982,"Barry, Charles/Martin, Andres - Duncan, Scott/Jones, Ben",Tenis,World. ATP Challenger Metepec. Doubles,[]
2026-02-20T22:29:42.276256+00:00,742a318766d0919decd6e3552f1f97d4,0.98,Union La Calera - Nublense,Futebol,Chile. Primera Division,[]
2026-02-20T22:29:42.276260+00:00,d816424d702c387d7fadefaa5aedb45c,0.98,"Hashimoto, Hugo - Dean, Theodore",Tenis,World. UTR Pro Series. Singles,[]
2026-02-20T22:29:42.276263+00:00,bf74d29b6e04c75bf6a5184401edbf50,0.979,Renasce Voleibol Sorocaba Women - Tijuca TC Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:29:44.575591+00:00,e89c236be9ee02be718960a45c949f20,1.0,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:29:44.575605+00:00,fb9752661ef113245aa0216cdbb514e1,0.998,Club Atletico Cerro - Liverpool Montevideo,Futebol,Uruguay. Primera Division,[]
